"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Feb-2021","    15371.45","    15431.75","    15242.20","    15313.45","      648545320","        36550.03"
"17-Feb-2021","    15279.90","    15314.30","    15170.75","    15208.90","      504767226","        34073.12"
"18-Feb-2021","    15238.70","    15250.75","    15078.05","    15118.95","      770629541","        37093.99"
"19-Feb-2021","    15074.80","    15144.05","    14898.20","    14981.75","      712213821","        37419.34"
"22-Feb-2021","    14999.05","    15010.10","    14635.05","    14675.70","      609898454","        37578.07"
"23-Feb-2021","    14782.25","    14854.50","    14651.85","    14707.80","      744092809","        39508.09"
"24-Feb-2021","    14729.15","    15008.80","    14723.05","    14982.00","      403754669","        23723.99"
"25-Feb-2021","    15079.85","    15176.50","    15065.35","    15097.35","      803883875","        42983.07"
"26-Feb-2021","    14888.60","    14919.45","    14467.75","    14529.15","     1103644519","        65012.96"
"01-Mar-2021","    14702.50","    14806.80","    14638.55","    14761.55","      507302977","        30030.57"
"02-Mar-2021","    14865.30","    14959.10","    14760.80","    14919.10","      621723916","        34647.26"
"03-Mar-2021","    15064.40","    15273.15","    14995.80","    15245.60","      544205583","        34567.73"
"04-Mar-2021","    15026.75","    15202.35","    14980.20","    15080.75","      534850447","        36036.02"
"05-Mar-2021","    14977.95","    15092.35","    14862.10","    14938.10","      640700362","        37811.60"
"08-Mar-2021","    15002.45","    15111.15","    14919.90","    14956.20","      580308065","        29518.07"
"09-Mar-2021","    15049.90","    15126.85","    14925.45","    15098.40","      675271251","        38365.48"
"10-Mar-2021","    15202.15","    15218.45","    15100.85","    15174.80","      404585756","        25603.32"
"12-Mar-2021","    15321.15","    15336.30","    14953.60","    15030.95","      493238854","        32195.96"
"15-Mar-2021","    15048.40","    15048.40","    14745.85","    14929.50","      467473367","        28118.00"
"16-Mar-2021","    14996.10","    15051.60","    14890.65","    14910.45","      437651327","        27975.07"
"17-Mar-2021","    14946.55","    14956.55","    14696.05","    14721.30","      479352147","        27983.50"
"18-Mar-2021","    14855.50","    14875.20","    14478.60","    14557.85","      542216908","        31339.71"
"19-Mar-2021","    14471.15","    14788.25","    14350.10","    14744.00","      919178208","        49011.27"
"22-Mar-2021","    14736.30","    14763.90","    14597.85","    14736.40","      458997059","        27345.02"
"23-Mar-2021","    14768.55","    14878.60","    14707.00","    14814.75","      474150088","        30322.09"
"24-Mar-2021","    14712.45","    14752.35","    14535.00","    14549.40","      456403503","        27868.93"
"25-Mar-2021","    14570.90","    14575.60","    14264.40","    14324.90","      606820996","        35350.22"
"26-Mar-2021","    14506.30","    14572.90","    14414.25","    14507.30","      481000845","        29423.45"
"30-Mar-2021","    14628.50","    14876.30","    14617.60","    14845.10","      594520567","        35117.93"
"31-Mar-2021","    14811.85","    14813.75","    14670.25","    14690.70","      436874691","        29741.83"
"01-Apr-2021","    14798.40","    14883.20","    14692.45","    14867.35","      430028476","        29585.23"
"05-Apr-2021","    14837.70","    14849.85","    14459.50","    14637.80","      500476690","        33885.39"
"06-Apr-2021","    14737.00","    14779.10","    14573.90","    14683.50","      474211156","        31885.97"
"07-Apr-2021","    14716.45","    14879.80","    14649.85","    14819.05","      476382016","        35184.96"
"08-Apr-2021","    14875.65","    14984.15","    14821.10","    14873.80","      503728173","        34444.56"
"09-Apr-2021","    14882.65","    14918.45","    14785.65","    14834.85","      498347599","        35010.36"
"12-Apr-2021","    14644.65","    14652.50","    14248.70","    14310.80","      638475842","        43433.24"
"13-Apr-2021","    14364.90","    14528.90","    14274.90","    14504.80","      588666016","        40846.57"
"15-Apr-2021","    14522.40","    14597.55","    14353.20","    14581.45","      556851211","        40177.25"
"16-Apr-2021","    14599.60","    14697.70","    14559.00","    14617.85","      568568743","        36653.65"
"19-Apr-2021","    14306.60","    14382.30","    14191.40","    14359.45","      503142904","        34751.95"
"20-Apr-2021","    14526.70","    14526.95","    14207.30","    14296.40","      456704716","        34687.11"
"22-Apr-2021","    14219.15","    14424.75","    14151.40","    14406.15","      516985252","        37235.71"
"23-Apr-2021","    14326.35","    14461.15","    14273.30","    14341.35","      476613608","        31894.66"
"26-Apr-2021","    14449.45","    14557.50","    14421.30","    14485.00","      448533329","        33156.16"
"27-Apr-2021","    14493.80","    14667.55","    14484.85","    14653.05","      442211685","        32181.14"
"28-Apr-2021","    14710.50","    14890.25","    14694.95","    14864.55","      453990807","        37650.11"
"29-Apr-2021","    14979.00","    15044.35","    14814.45","    14894.90","      511466673","        41597.37"
"30-Apr-2021","    14747.35","    14855.45","    14601.70","    14631.10","      594744498","        40335.86"
"03-May-2021","    14481.05","    14673.85","    14416.25","    14634.15","      443410846","        32538.97"
"04-May-2021","    14687.25","    14723.40","    14461.50","    14496.50","      479657079","        34024.77"
"05-May-2021","    14604.15","    14637.90","    14506.60","    14617.85","      437261063","        28942.47"
"06-May-2021","    14668.35","    14743.90","    14611.50","    14724.80","      445281496","        31015.95"
"07-May-2021","    14816.85","    14863.05","    14765.50","    14823.15","      483677266","        33583.37"
"10-May-2021","    14928.25","    14966.90","    14892.50","    14942.35","      510598577","        31620.64"
"11-May-2021","    14789.70","    14900.00","    14771.40","    14850.75","      616204478","        32955.82"
"12-May-2021","    14823.55","    14824.05","    14649.70","    14696.50","      620318215","        32035.23"
"14-May-2021","    14749.40","    14749.65","    14591.90","    14677.80","      602738614","        39176.28"
"17-May-2021","    14756.25","    14938.00","    14725.35","    14923.15","      534516176","        35571.28"
"18-May-2021","    15067.20","    15137.25","    15043.70","    15108.10","      571923125","        35634.73"
"19-May-2021","    15058.60","    15133.40","    15008.85","    15030.15","      563293717","        31100.21"
"20-May-2021","    15042.60","    15069.80","    14884.90","    14906.05","      467455658","        28002.53"
"21-May-2021","    14987.80","    15190.00","    14985.85","    15175.30","      557730470","        31921.76"
"24-May-2021","    15211.35","    15256.25","    15145.45","    15197.70","      566722866","        32061.04"
"25-May-2021","    15291.75","    15293.85","    15163.40","    15208.45","      417323446","        26871.99"
"26-May-2021","    15257.05","    15319.90","    15194.95","    15301.45","      377682051","        26187.83"
"27-May-2021","    15323.95","    15384.55","    15272.50","    15337.85","      682374351","        48219.93"
"28-May-2021","    15421.20","    15469.65","    15394.75","    15435.65","      455582440","        32992.08"
"31-May-2021","    15437.75","    15606.35","    15374.00","    15582.80","      435999456","        32739.29"
"01-Jun-2021","    15629.65","    15660.75","    15528.30","    15574.85","      409562322","        27964.09"
"02-Jun-2021","    15520.35","    15597.45","    15459.85","    15576.20","      428641666","        28781.87"
"03-Jun-2021","    15655.55","    15705.10","    15611.00","    15690.35","      410240584","        27519.48"
"04-Jun-2021","    15712.50","    15733.60","    15622.35","    15670.25","      414162241","        25363.03"
"07-Jun-2021","    15725.10","    15773.45","    15678.10","    15751.65","      393970049","        25411.48"
"08-Jun-2021","    15773.90","    15778.80","    15680.00","    15740.10","      378164658","        24172.13"
"09-Jun-2021","    15766.30","    15800.45","    15566.90","    15635.35","      457855735","        26926.49"
"10-Jun-2021","    15692.10","    15751.25","    15648.50","    15737.75","      298297041","        23032.90"
"11-Jun-2021","    15796.45","    15835.55","    15749.80","    15799.35","      363011297","        24591.69"
"14-Jun-2021","    15791.40","    15823.05","    15606.50","    15811.85","      392862037","        28001.50"
"15-Jun-2021","    15866.95","    15901.60","    15842.40","    15869.25","      323262818","        22181.26"
"16-Jun-2021","    15847.50","    15880.85","    15742.60","    15767.55","      340191175","        22505.95"
"17-Jun-2021","    15648.30","    15769.35","    15616.75","    15691.40","      357649243","        26048.47"
"18-Jun-2021","    15756.50","    15761.50","    15450.90","    15683.35","      640821642","        42024.55"
"21-Jun-2021","    15525.85","    15765.15","    15505.65","    15746.50","      351530072","        22525.89"
